gross,genres,month
49392095,Comedy,6
49392095,Sci-Fi,6
39292022,Action,8
39292022,Adventure,8
39292022,Thriller,8
28772222,Action,12
28772222,Action,12
28772222,Crime,12
28772222,Crime,12
28772222,Sport,12
28772222,Sport,12
28772222,Thriller,12
28772222,Thriller,12
17010646,Comedy,2
17010646,Family,2
17010646,Fantasy,2
24985612,Action,12
24985612,Adventure,12
24985612,Biography,12
24985612,Drama,12
24985612,History,12
24985612,Thriller,12
4411102,Action,8
4411102,Comedy,8
4411102,Sci-Fi,8
35024475,Action,2
35024475,Drama,2
35024475,Thriller,2
35024475,War,2
130174897,Adventure,10
130174897,Animation,10
130174897,Comedy,10
130174897,Family,10
10200000,Drama,9
10200000,Mystery,9
10200000,Thriller,9
202007640,Action,4
202007640,Adventure,4
202007640,Fantasy,4
202007640,Thriller,4
77679638,Crime,12
77679638,Drama,12
9213,Drama,12
9213,History,12
9213,Romance,12
9213,War,12
58867694,Animation,6
58867694,Comedy,6
58867694,Family,6
58867694,Sport,6
59475623,Comedy,6
59475623,Sci-Fi,6
59475623,Thriller,6
108638745,Drama,12
108638745,History,12
108638745,War,12
86897182,Comedy,8
63540020,Action,5
63540020,Adventure,5
63540020,Sci-Fi,5
